Rating,MRP,Processor,Display,OS,Brand,RAMSize,RAMType,Storage_HDD,Storage_SSD
4.3,74990.0,Intel Core i5 Processor,35.56,Windows,LENOVO,16,LPDDR4X ,0,512
4.5,59990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,0,1000
4.8,222990.0,M1 Pro Processor,41.15,Mac,APPLE,16,Unified Memory ,0,512
4.3,62990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.5,58499.0,Intel Core i5 Processor,39.62,Windows,MSI,8,DDR4 ,0,512
4.3,65990.0,Intel Core i5 Processor,39.62,Windows,LENOVO,8,DDR4 ,1000,256
4.0,111990.0,Intel Core i7 Processor,39.62,Windows,DELL,16,DDR5 ,0,512
4.3,68490.0,Intel Core i5 Processor,39.62,Windows,LENOVO,16,DDR4 ,0,512
4.3,54990.0,Intel Core i5 Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.7,149990.0,M1 Processor,33.78,Mac,APPLE,8,DDR4 ,0,1000
3.9,63090.0,Intel Core i5 Processor,88.9,Windows,DELL,8,DDR4 ,0,512
4.3,200000.0,Intel Core i7 Processor,39.62,Windows,MSI,16,DDR5 ,0,1000
4.3,37390.0,Intel Core i3 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,256
4.5,63990.0,Intel Core i5 Processor,35.56,Windows,ASUS,8,LPDDR4X ,0,512
4.1,43090.0,Intel Core i3 Processor,35.56,Windows,DELL,8,DDR4 ,0,512
4.1,44700.0,Intel Core i3 Processor,39.62,Windows,LENOVO,4,DDR4 ,0,256
4.4,41150.0,Intel Core i3 Processor,35.56,Windows,HP,8,DDR4 ,0,256
4.3,33990.0,Ryzen 3 Dual Core Processor,39.62,Windows,ASUS,8,DDR4 ,0,256
4.3,190890.0,Intel Core i7 Processor,43.94,Windows,MSI,16,DDR5 ,0,1000
4.3,174990.0,Intel Core i9 Processor,34.04,Windows,ASUS,16,LPDDR5 ,0,1000
3.5,118990.0,Ryzen 7 Octa Core Processor,40.89,Windows,HP,16,DDR4 ,0,1000
4.5,63980.0,Intel Core i5 Processor,39.62,Windows,ASUS,16,DDR4 ,0,512
4.4,54300.0,Ryzen 5 Hexa Core Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.2,36400.0,Ryzen 3 Dual Core Processor,39.62,Windows,DELL,8,DDR4 ,0,256
4.3,28590.0,Intel Core i3 Processor,39.62,Windows,ASUS,4,DDR4 ,0,256
4.3,69999.0,Ryzen 5 Hexa Core Processor,40.64,Windows,DELL,16,DDR4 ,0,512
5.0,301990.0,Intel Core i9 Processor,39.62,Windows,ASUS,32,DDR5 ,0,1000
4.3,37000.0,Intel Core i3 Processor,38.1,Windows,LENOVO,8,DDR4 ,0,256
4.2,64990.0,Intel Core i5 Processor,33.02,Windows,LENOVO,16,DDR4 ,0,512
4.3,42690.0,Intel Core i3 Processor,38.0,Windows,DELL,8,DDR4 ,0,256
5.0,140990.0,Ryzen 7 Octa Core Processor,39.62,Windows,ASUS,16,DDR5 ,0,1000
4.3,38990.0,Intel Core i3 Processor,38.1,Windows,LENOVO,4,DDR4 ,0,256
4.3,128990.0,Intel Core i7 Processor,34.29,Windows,HP,16,LPDDR4X ,0,512
4.3,54999.0,Intel Core i3 Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.1,60130.0,Intel Core i5 Processor,39.62,Windows,ACER,8,DDR4 ,1000,256
4.3,29490.0,Intel Pentium Silver Processor,35.56,Windows,ACER,8,DDR4 ,0,256
4.1,72490.0,Intel Core i5 Processor,35.56,Windows,DELL,8,DDR4 ,0,512
4.3,73990.0,Intel Core i5 Processor,39.62,Windows,GIGABYTE,16,DDR4 ,0,512
4.4,55600.0,Ryzen 7 Octa Core Processor,35.56,Windows,LENOVO,8,DDR4 ,0,512
4.4,49690.0,Ryzen 5 Quad Core Processor,35.56,Windows,DELL,8,DDR4 ,0,512
4.3,239990.0,Intel Core i7 Processor,40.64,Windows,ASUS,32,DDR5 ,0,1000
4.5,73990.0,Intel Core i5 Processor,39.62,Windows,MSI,16,DDR4 ,0,512
4.4,52490.0,Ryzen 5 Hexa Core Processor,35.56,Windows,HP,8,DDR4 ,0,512
4.3,41990.0,Intel Core i3 Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.3,29990.0,Intel Pentium Quad Core Processor,35.56,Windows,ASUS,8,DDR4 ,0,256
4.4,50490.0,Intel Core i5 Processor,35.56,Windows,NOKIA,8,DDR4 ,0,512
4.4,96490.0,Intel Core i7 Processor,39.62,Windows,ACER,16,DDR4 ,1000,512
4.5,74990.0,Intel Core i5 Processor,35.56,Windows,MSI,16,LPDDR4X ,0,512
4.2,51990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.3,71345.0,Ryzen 5 Hexa Core Processor,39.62,Windows,ASUS,8,DDR4 ,1000,256
4.5,101490.0,Intel Core i7 Processor,39.62,Windows,ASUS,16,DDR4 ,0,1000
4.3,274990.0,Intel Core i7 Processor,39.62,Windows,MSI,32,DDR5 ,0,1000
